Line,Pada,Meter,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
1.014.03c,c,G,H,H,H,H,L,H,L,L
1.014.04a,a,G,L,H,L,H,L,H,L,H
1.014.04b,b,G,H,L,H,H,L,H,L,L
1.014.04c,c,G,H,H,H,H,L,H,L,L
1.014.05a,a,G,H,L,H,H,L,H,L,L
1.014.05b,b,G,H,H,H,H,L,H,L,L
1.014.05c,c,G,L,H,H,L,L,H,L,L
1.014.06a,a,G,L,L,H,H,L,H,L,H
1.014.06b,b,G,H,H,L,H,L,H,L,L
1.014.06c,c,G,H,H,H,H,L,H,L,H
1.014.07a,a,G,H,L,H,H,L,H,L,H
1.014.07b,b,G,H,H,H,H,L,H,L,L
1.014.07c,c,G,H,H,L,H,L,H,L,L
1.014.08a,a,G,H,L,H,H,L,H,L,H
1.014.08b,b,G,H,H,L,H,L,H,L,H
1.014.08c,c,G,L,H,H,H,L,H,L,L
1.014.09a,a,G,H,H,H,H,L,H,L,H
1.014.09b,b,G,H,H,H,H,L,H,L,L
1.014.09c,c,G,H,H,H,H,L,H,L,L
1.014.10a,a,G,H,H,H,H,L,H,L,L
1.014.10b,b,G,H,L,H,H,L,H,L,H
1.014.10c,c,G,L,H,H,H,L,H,L,L
1.014.11a,a,G,L,H,H,H,L,H,L,H
1.014.11b,b,G,H,H,H,H,L,H,L,L
1.014.11c,c,G,H,H,L,H,L,H,L,L
1.014.12a,a,G,H,H,L,L,L,H,L,H
1.014.12b,b,G,L,L,H,H,L,H,L,L
1.014.12c,c,G,H,H,H,H,L,H,L,L
1.015.01a,a,G,H,L,H,H,L,L,L,H
1.015.01b,b,G,H,H,L,H,L,H,L,L
1.015.01c,c,G,H,L,H,H,L,H,L,L
1.015.02a,a,G,L,L,H,L,L,L,L,H
1.015.02b,b,G,H,H,H,H,L,H,L,L
1.015.02c,c,G,H,H,L,H,L,H,L,L
1.015.03a,a,G,L,L,H,H,L,H,L,H
1.015.03b,b,G,H,H,H,H,L,L,L,H
1.015.03c,c,G,L,H,L,H,L,L,L,L
1.015.04a,a,G,H,H,H,H,L,H,L,L
1.015.04b,b,G,H,L,H,H,L,L,L,L
1.015.04c,c,G,L,L,H,L,L,L,L,H
1.015.05a,a,G,H,L,H,H,L,H,L,L
1.015.05b,b,G,L,H,H,L,L,H,L,L
1.015.05c,c,G,L,H,L,H,L,H,L,L
1.015.06a,a,G,L,H,H,H,L,H,L,L
1.015.06b,b,G,H,H,L,L,L,H,L,L
1.015.06c,c,G,L,L,H,H,L,H,L,H
1.015.07a,a,G,L,L,H,H,L,L,L,H
1.015.07b,b,G,H,L,H,H,L,H,L,H
1.015.07c,c,G,H,H,L,H,L,H,L,H
1.015.08a,a,G,L,L,H,H,L,H,L,H
1.015.08b,b,G,L,H,L,H,L,H,L,H
1.015.08c,c,G,H,H,L,H,L,H,L,H
1.015.09a,a,G,L,L,H,H,L,H,L,L
1.015.09b,b,G,L,H,L,L,L,H,L,L
1.015.09c,c,G,H,H,L,L,L,H,L,L
1.015.10a,a,G,H,H,L,H,L,L,L,L
1.015.10b,b,G,L,L,H,H,L,H,L,H
1.015.10c,c,G,L,L,H,H,L,H,L,L
1.015.11a,a,G,H,L,H,L,L,H,L,L
